intervalli,trapezi,simpson,gauss
30276,4.79293564714357864716020482795333086154348544437298e-07,6.39106522286546487944574652037464137935575974657287e-15,5.12414497512032448524716771602961076958357988008679e-25
30625,4.68431828470795917506591744256403493157374500879977e-07,6.10467920832113181067353644782824270679080190873198e-15,5.0080217577137127428000398341134967197812489675696e-25
30976,4.57876041852548625020938427728645681313233175811165e-07,5.83264971425475408842907623471620717067582540031072e-15,4.89516945884903370007720439467917391282351770582403e-25
31329,4.47615921413152223156676429290124994086865284362992e-07,5.57418152682102010258790659668160298629919673449819e-15,4.78547813782886803487251296937008321472886713323199e-25
31684,4.37641584706518616004693198251258027369804803515867e-07,5.32852761617156210825258293336239996039788738777724e-15,4.67884214106519513554565188105710840314385466333132e-25
32041,4.27943532515321018655621974031432836937578996812418e-07,5.09498596937030860797744011265430256591945723977618e-15,4.57515991208243233361803087979541368180093219425875e-25
32400,4.18512631960548079166061719057770863428436943359962e-07,4.87289664676659412978125405169369485738629164749832e-15,4.47433381094107729379770295714599062752944627850218e-25
32761,4.09340100443947375655503744574924053310707853081623e-07,4.66163904657416500935990187768363811315231962844603e-15,4.37626994256579999093225386345202956866965646608044e-25
33124,4.00417490377973033805117008437074522307389589761538e-07,4.46062936026550684444425651694117864315231417222485e-15,4.28087799349276894434188717032271154413534405737027e-25
33489,3.9173667466055786007262748062414101510832130939781e-07,4.26931820612401004955368911763219827789577238219187e-15,4.18807107657992257645993118008352564430104968269845e-25
33856,3.83289832854561024498704366925027587339653484895556e-07,4.08718842601032129507065338742747200632950049794437e-15,4.09776558325095170563181265120249352033617950108937e-25
34225,3.75069438034110151978670824819835729618483077627378e-07,3.91375303485084075029246627013810784202504350897176e-15,4.00988104286907368064156496669148770084878593680974e-25
34596,3.67068244262272979551147137895953987374699589954291e-07,3.74855330995893968302320044882629873352608018075442e-15,3.9243399888603731893168356413389058282906105653574e-25
34969,3.59279274666568958636753859706349688511319383200691e-07,3.5911570115072234110598316304894049621518079126806e-15,3.84106783122867103626611562346312313058580528535424e-25
35344,3.51695810080775002393774478735823967614332418267833e-07,3.44115672298990973078649434265361156265523277817602e-15,3.75999273512466364413405634361930988386488019399634e-25
35721,3.44311378223300965487049191917675932657144173998141e-07,3.29816830450948440487569586121465767319205060734967e-15,3.68104550515154854498310964609703714404157469049937e-25
36100,3.37119743384117707223331504841179467994875368290261e-07,3.16182944918444120230588817417473774189309522974068e-15,3.60415947510760354275973417177195638751741456816211e-25
36481,3.30114896593821435476790679455883617365676472845647e-07,3.03179833678332424165701971083183506581587328264717e-15,3.52927040288330193243543259645396067325662516177952e-25
36864,3.23291046249919606895426710507867008714674198531839e-07,2.90775237611408601869889093685303967690590484967868e-15,3.45631637024659958420163423643636245266488947963286e-25
37249,3.16642609176832602813599499523265287344486920949732e-07,2.78938703134121385976145321187931944273940184287284e-15,3.38523768726509276924900490451972380586710533167907e-25
37636,3.10164202097427869328313940472849258683163971100698e-07,2.67641472480359986048265773019219291222951812899016e-15,3.31597680112788416571378223363508086919054986650577e-25
38025,3.0385063349514492457662813406089237121439201407658e-07,2.56856381240281332277399739499498494572686744661374e-15,3.24847820914326969683816118500043984432165946879563e-25
